SIN(s),SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE,CONTRACT END DATE
132-51,Systems Engineerat Halvik's Site,BS,6,Hour,$107.24 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Systems Engineerat Halvik's Site,MS,8,Hour,$120.37 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Principal Systems Engineer at Halvik's Site,BS,10,Hour,$142.26 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Systems Architect at Halvik's Site,BS,12,Hour,$149.24 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Functional Analystat Halvik's Site,BS,5,Hour,$88.68 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Functional Analystat Halvik's Site,BS,8,Hour,$103.96 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Applications Engineerat Halvik's Site,BS,5,Hour,$93.02 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Applications Engineerat Halvik's Site,BS,7,Hour,$109.43 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Quality Assurance Analystat Halvik's Site,BS,0,Hour,$73.32 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Systems Analystat Halvik's Site,HS,3,Hour,$82.07 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Systems Analyst at Halvik's Site,BS,6,Hour,$98.49 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Database Management Specialist at Halvik's Site,BS,6,Hour,$103.41 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Database Management Specialistat Halvik's Site,BS,8,Hour,$121.47 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,IT Sr. Consultantat Halvik's Site,BS,13,Hour,$242.80 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Program Manager,N/A,5 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,5 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,2 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,2 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,3 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,4 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,5 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,6 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,7 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,3 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,3 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,4 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,5 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,6 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelor’s,10 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Associates,1 Year,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,Bachelors Degree,5 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Manager,N/A,3 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Quality Assurance Specialist,Bachelor’s,3 Years,Hour,$98.24 ,GS-35F-351BA,DIGITAL EDGE VENTURES INC,S,IT Schedule 70,Both,2,4/2/15,4/30/19
132-51,Program Control Specialist,"Bachelor's degree or equivalent experience in business administration, accounting, or other related discipline.",2 Years,Hour,$49.87 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Jr. Computer Systems Analyst,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business or other related scientific or technical discipline.",0 Years,Hour,$58.01 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Internet Technical Specialist,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business or other related scientific or technical discipline.",2 Years,Hour,$79.18 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Senior Information Engineer,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business, or other related scientific or technical discipline .",6 Years,Hour,$100.28 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Computer Systems Analyst,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business or other related scientific or technical discipline.",0 Years,Hour,$70.11 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Software Engineer,"Bachelor’s degree in Computer Science, Information Systems, Engineering, Business or other related scientific or technical discipline.",4 Years,Hour,$66.23 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,System Administrator,"Bachelor’s Degree in Computer Science, Information Systems, Engineering, Business or other related scientific or technical discipline.",3 Years,Hour,$74.84 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Senior Software Engineer,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business, or other related scientific or technical discipline.",5 Years,Hour,$101.01 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Project Manager I,Bachelor’s degree in a technical or management discipline.,2 Years,Hour,$171.48 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Computer Scientist II,"Bachelor’s degree or equivalent experience in business administration, accounting, or other related discipline.",4 Years,Hour,$81.35 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Subject Matter Expert I,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business, or other related scientific or technical discipline.",8 Years,Hour,$97.11 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Subject Matter Expert II,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business, or other related scientific or technical discipline.",10 Years,Hour,$105.74 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Project Support I,"Bachelor's degree in Business, Management or other related fields.",1 Year,Hour,$36.03 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Senior Engineer,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business, or other related scientific or technical discipline.",3 Years,Hour,$90.42 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Staff Information Engineer,"Bachelor's Degree in Computer Science, Information Systems, Engineering, Business, or other related scientific or technical discipline.",8 Years,Hour,$144.57 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Principal Application Engineer,"Bachelor's degree in Computer Science, Mathematics, Information Science, Information System Management.",7 Years,Hour,$119.70 ,GS-35F-360BA,"APPLIED RESEARCH SOLUTIONS, INC",O,IT Schedule 70,Customer,2,5/5/14,5/6/19
132-51,Subject Matter Expert II,M.S. or B.S.,12,Hour,$241.84 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,5/7/14,5/8/19
132-51,Progam Manager,Bachelors,8,Hour,$168.05 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Customer,2,5/10/14,5/11/19
132-51,Web Developer (Intermediate),Associates,5,Hour,$78.73 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Customer,2,5/10/14,5/11/19
132-51,Test Engineer (Lead/Senior),Bachelors,5,Hour,$67.19 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Programmer/Analyst (Intermediate),Bachelors,3,Hour,$69.63 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Programmer/Analyst (Journeyman),Bachelors,4,Hour,$73.51 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Programmer/Analyst (Senior),Bachelors,5,Hour,$82.88 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,System Engineer (Journeyman),Bachelors,5,Hour,$104.27 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,System Engineer (Lead/Senior),Bachelors,10,Hour,$134.19 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Information Assurance Engineer (Journeyman),Masters,5,Hour,$87.70 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Software Engineer (Entry),Bachelors,1,Hour,$73.18 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Software Engineer (Intermediate),Associates,3,Hour,$111.87 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Software Engineer (Journeyman),Bachelors,5,Hour,$118.72 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,Software Engineer (Lead/Senior),Bachelors,10,Hour,$136.98 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,"President, VP, Engineering (SME) Executive Scientist Offsite",Associates,3,Hour,$252.59 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Contractor,2,5/10/14,5/11/19
132-51,"President, VP, Engineering (SME) Executive Scientist Offsite",Associates,3,Hour,$278.43 ,GS-35F-362BA,"ZAPATA TECHNOLOGY, INC.",s,IT Schedule 70,Customer,2,5/10/14,5/11/19
132-51,Application Programmer,N/A,N/A,Hour,$93.51 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Computer Security System Specialist,N/A,N/A,Hour,$88.32 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Operations Manager,N/A,N/A,Hour,$147.60 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Software Engineer,N/A,N/A,Hour,$110.22 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Software Engineer (Mid),N/A,N/A,Hour,$115.73 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Subject Matter Expert,N/A,N/A,Hour,$129.88 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,System Architect,N/A,N/A,Hour,$126.76 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Systems Engineer III,N/A,N/A,Hour,$98.46 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Systems Environment Tools Expert,N/A,N/A,Hour,$129.88 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,System Security Engineer,N/A,N/A,Hour,$101.66 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,Telecommunications Engineer,N/A,N/A,Hour,$89.35 ,GS-35F-370BA,"Straitsys, Incorporated",S,IT Schedule 70,Both,2,5/19/14,5/18/19
132-51,SQL Server Consulting,Bachelors,5,Hour,$74.81 ,GS-35F-380BA,NAMITUS TECHNOLOGIES INC,s,IT Schedule 70,customer,2,5/26/14,5/27/19
132-51,Networking Engineer,Bachelors,5,Hour,$63.84 ,GS-35F-380BA,NAMITUS TECHNOLOGIES INC,s,IT Schedule 70,customer,2,5/26/14,5/27/19
132-51,Java Technical Consultant,Bachelors,5,Hour,$59.85 ,GS-35F-380BA,NAMITUS TECHNOLOGIES INC,s,IT Schedule 70,customer,2,5/26/14,5/27/19
132-51,.Net Consultant,Bachelors,5,Hour,$64.84 ,GS-35F-380BA,NAMITUS TECHNOLOGIES INC,s,IT Schedule 70,customer,2,5/26/14,5/27/19
132-51,Project Manager,Bachelors,5,Per Hour,$158.89 ,GS-35F-379BA,GLOBAL ANCHORAGE INC,S,IT Schedule 70,Customer,2,5/28/14,5/29/19
132-51,ERP Specialist,Bachelors,5,Per Hour,$161.01 ,GS-35F-379BA,GLOBAL ANCHORAGE INC,S,IT Schedule 70,Customer,2,5/28/14,5/29/19
132-51,Sr. Systems Analyst,Bachelors,5,Per Hour,$125.44 ,GS-35F-379BA,GLOBAL ANCHORAGE INC,S,IT Schedule 70,Customer,2,5/28/14,5/29/19
132-51,Sr. Business Analyst,Bachelors,5,Per Hour,$125.44 ,GS-35F-379BA,GLOBAL ANCHORAGE INC,S,IT Schedule 70,Customer,2,5/28/14,5/29/19
132-51,Programmer,Bachelors,2,Per Hour,$125.44 ,GS-35F-379BA,GLOBAL ANCHORAGE INC,S,IT Schedule 70,Customer,2,5/28/14,5/29/19
132-51,Infrastructure Project Management,Bachelor's,10,Hour,$143.58 ,GS-35F-383BA,VANGUARD ENTERPRISES AND ASSOCIATES INC.,s,IT Schedule 70,customer,2,5/31/14,6/1/19
132-51,Systems and Network Administration,Bachelor's,10,Hour,$119.65 ,GS-35F-383BA,VANGUARD ENTERPRISES AND ASSOCIATES INC.,s,IT Schedule 70,customer,2,5/31/14,6/1/19
132-51,Desktop and Facilities Administration,Bachelor's,10,Hour,$119.65 ,GS-35F-383BA,VANGUARD ENTERPRISES AND ASSOCIATES INC.,s,IT Schedule 70,customer,2,5/31/14,6/1/19
132-51,Computer Aided Engineering/Finite Element Analysis (CAE/FEA),Bachelor's,10,Hour,$143.58 ,GS-35F-383BA,VANGUARD ENTERPRISES AND ASSOCIATES INC.,s,IT Schedule 70,customer,2,5/31/14,6/1/19
132-51,Manufacturing Engineering (CAD/CAM),Bachelor's,10,Hour,$119.65 ,GS-35F-383BA,VANGUARD ENTERPRISES AND ASSOCIATES INC.,s,IT Schedule 70,customer,2,5/31/14,6/1/19
132-51,ERP Specialist,Bachelor's,8,Hour,$138.24 ,GS-35F-432BA,"TFC, LLC",s,IT Schedule 70,customer,2,7/12/14,7/13/19
132-51,Business Analyst,Bachelor's,5,Hour,$98.74 ,GS-35F-432BA,"TFC, LLC",s,IT Schedule 70,customer,2,7/12/14,7/13/19
132-51,Database Analyst II,Bachelor's,5,Hour,$61.53 ,GS-35F-432BA,"TFC, LLC",s,IT Schedule 70,customer,2,7/12/14,7/13/19
132-51,Database Analyst I,Associate Degree,3,Hour,$49.05 ,GS-35F-432BA,"TFC, LLC",s,IT Schedule 70,customer,2,7/12/14,7/13/19
132-51,IT Sr. Developer,Bachelors,4,Hour,$77.41 ,GS-35F-440BA,"COMPITSS, INC.",s,IT Schedule 70,customer,2,7/16/14,7/17/19
132-51,Programmer Analyst,Bachelors,2,Hour,$63.69 ,GS-35F-440BA,"COMPITSS, INC.",s,IT Schedule 70,customer,2,7/16/14,7/17/19
132-51,IT Project Administrator **,High School,2,Hour,$52.27 ,GS-35F-440BA,"COMPITSS, INC.",s,IT Schedule 70,customer,2,7/16/14,7/17/19
132-51,IT SAP Functional Consultant,Bachelors,8,Hour,$107.78 ,GS-35F-440BA,"COMPITSS, INC.",s,IT Schedule 70,customer,2,7/16/14,7/17/19
132-51,Senior Adobe LiveCycle TA (Technical Architect),Bachelor's,12,Hour,$143.58 ,GS-35F-446BA,"SMARTDOC TECHNOLOGIES, LLC",S,IT Schedule 70,Customer,2,7/23/14,7/22/19
132-51,Senior Technical Project Manager,Bachelor's,8,Hour,$119.65 ,GS-35F-446BA,"SMARTDOC TECHNOLOGIES, LLC",S,IT Schedule 70,Customer,2,7/23/14,7/22/19
132-51,Senior Adobe LiveCycle Forms Developer,Bachelor's,5,Hour,$95.72 ,GS-35F-446BA,"SMARTDOC TECHNOLOGIES, LLC",S,IT Schedule 70,Customer,2,7/23/14,7/22/19
132-51,Designer,Bachelor's,5,Hour,$95.72 ,GS-35F-446BA,"SMARTDOC TECHNOLOGIES, LLC",S,IT Schedule 70,Customer,2,7/23/14,7/22/19
132-51,Project Manager,Bachelor's,5,Hour,$95.72 ,GS-35F-446BA,"SMARTDOC TECHNOLOGIES, LLC",S,IT Schedule 70,Customer,2,7/23/14,7/22/19
132-51,Proof Reader and QA Specialist,Bachelor's,4,Hour,$71.79 ,GS-35F-446BA,"SMARTDOC TECHNOLOGIES, LLC",S,IT Schedule 70,Customer,2,7/23/14,7/22/19
132-51,Adobe LiveCycle Forms Developer,Bachelor's,1,Hour,$47.86 ,GS-35F-446BA,"SMARTDOC TECHNOLOGIES, LLC",S,IT Schedule 70,Customer,2,7/23/14,7/22/19
132-51,Business Analyst III,Bachelor's,4,Hour,$110.66 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Business Transformation Consultant 1,Master's,7,Hour,$135.27 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Developer,Bachelor's,3,Hour,$110.15 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Developer II,Bachelor's,5,Hour,$97.37 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Developer III,Bachelor's,7,Hour,$130.97 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Developer IV,Bachelor's,10,Hour,$142.79 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Functional Consultant,Bachelor's,2,Hour,$106.39 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Functional Consultant I,Bachelor's,4,Hour,$112.33 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Functional Consultant II,Bachelor's,7,Hour,$159.29 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Helpdesk Analyst,Bachelor's,2,Hour,$57.97 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Java Developer,Bachelor's,3,Hour,$110.42 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Jr. Business Transformation Consultant,Master's,3,Hour,$70.98 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Jr. Transformation Consultant,Master's,3,Hour,$70.84 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Lead Database Administrator,Bachelor's,7,Hour,$128.37 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Oracle Federal Application Consultant II,Bachelor's,4,Hour,$134.80 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Prog Manager/Assc Con I,Bachelor's,10,Hour,$162.16 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Prog Manager/Assc Con II,Bachelor's,20,Hour,$173.38 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Project Manager I,Bachelor's,5,Hour,$141.64 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Project Manager III,Bachelor's,7,Hour,$139.98 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Sharepoint Developer,Bachelor's,4,Hour,$110.42 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Sr. Business Transformation Consultant,Master's,8,Hour,$126.19 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Sr. Transformation Consultant,Master's,10,Hour,$126.50 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Subject Matter Expert,Bachelor's,4,Hour,$106.27 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Subject Matter Expert II,Bachelor's,8,Hour,$123.94 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Transformation Consultant,Master's,10,Hour,$145.84 ,GS-35F-450BA,INTELLIZANT LLC,S,IT Schedule 70,Customer,2,7/22/14,7/23/19
132-51,Software Developer II,Bachelors Degree,6 years,Hour,$103.92 ,GS-35F-454BA,"B 3 GROUP, INC",S,IT Schedule 70,Customer,1,7/25/15,7/24/19
132-51,Requirements Analyst II,Associates Degree,2 years,Hour,$107.71 ,GS-35F-454BA,"B 3 GROUP, INC",S,IT Schedule 70,Customer,1,7/25/15,7/24/19
132-51,Test Technician II,Bachelors Degree,2 years,Hour,$101.73 ,GS-35F-454BA,"B 3 GROUP, INC",S,IT Schedule 70,Customer,1,7/25/15,7/24/19
132-51,Systems Analyst I,Bachelors Degree,5 years,Hour,$62.21 ,GS-35F-454BA,"B 3 GROUP, INC",S,IT Schedule 70,Customer,1,7/25/15,7/24/19
132-51,Help Desk Specialist II,Bachelors Degree,4 years,Hour,$92.06 ,GS-35F-454BA,"B 3 GROUP, INC",S,IT Schedule 70,Customer,1,7/25/15,7/24/19
132-51,Help Desk Specialist I,Associates Degree,2 years,Hour,$68.25 ,GS-35F-454BA,"B 3 GROUP, INC",S,IT Schedule 70,Customer,1,7/25/15,7/24/19
132-51,Credentialed Trainer,Bachelors,10,Hour,$119.70 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Principle Trainer / Instructional Designer,Bachelors,10,Hour,$134.66 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Security / Systems Analyst,Bachelors,10,Hour,$144.63 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Revenue Code Analyst I,Bachelors,5,Hour,$114.71 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Revenue Code Analyst II,Bachelors,15,Hour,$154.61 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Clinical Specialist I,Bachelors,5,Hour,$89.77 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Clinical Specialist II,Bachelors,20,Hour,$134.66 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Junior Analyst I,Bachelors,5,Hour,$119.70 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Junior Analyst II,Masters,10,Hour,$149.62 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
132-51,Senior Analyst I,Bachelors,11,Hour,$169.57 ,GS-35F-468BA,"CJS SOLUTIONS GROUP, LLC,",S,IT Schedule 70,Customer,2,8/7/14,8/6/19
